split,playoffs,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
Summer,0,1,10.12,2,Blue,jng,Broxah,Team Liquid,Graves,Yuumi,Olaf,Volibear,Nocturne,Galio,1821,0,0,2,2,8,11,0,0,0,0,0,0,0,1,0.2636,0.626,6199,204.2504,0.116008,457.6277,291.631,10,0.3295,6,0.1977,11,32,1.0544,8973,4983,164.1845,0.173864,8400,174,18,156,105,10,5.7331,3064,3118,60,3364,3131,61,-300,-13,-1,4989,4908,95,5080,88,-91,81,7
Summer,0,1,10.12,3,Blue,mid,Jensen,Team Liquid,Twisted Fate,Yuumi,Olaf,Volibear,Nocturne,Galio,1821,0,3,2,5,8,11,0,0,0,0,0,0,0,0,0.2636,0.626,20554,677.2323,0.384647,597.9242,279.7035,8,0.2636,1,0.0329,2,23,0.7578,11753,7763,255.7825,0.270871,11850,242,227,15,13,0,7.9736,4093,4923,85,3409,4425,90,684,498,-5,6021,7666,136,5193,143,828,334,-7
Summer,0,1,10.12,4,Blue,bot,Tactical,Team Liquid,Kai'Sa,Yuumi,Olaf,Volibear,Nocturne,Galio,1821,0,2,1,2,8,11,0,0,0,0,0,0,0,0,0.2636,0.626,13659,450.0494,0.255614,358.4843,177.1993,13,0.4283,8,0.2636,4,36,1.1862,11846,7856,258.8468,0.274116,11250,277,261,16,12,0,9.1269,3302,3081,89,3345,3006,92,-43,75,-3,5291,4950,131,5988,153,-697,-432,-22
Summer,0,1,10.12,5,Blue,sup,CoreJJ,Team Liquid,Nautilus,Yuumi,Olaf,Volibear,Nocturne,Galio,1821,0,0,2,4,8,11,0,0,0,0,0,0,0,0,0.2636,0.626,2407,79.3081,0.0450445,325.4366,517.0346,52,1.7133,3,0.0988,19,75,2.4712,6217,2227,73.3773,0.0776947,6000,26,26,0,0,0,0.8567,2149,2703,16,2070,2799,11,79,-96,5,3431,3530,20,3648,22,-217,-881,-2
Summer,0,1,10.11,6,Red,top,Impact,Team Liquid,Mordekaiser,Varus,Graves,Zilean,Jarvan IV,Lee Sin,1506,1,1,0,3,13,2,0,0,0,0,0,0,0,0,0.5179,0.5976,5002,199.2829,0.110632,404.741,465.8566,12,0.4781,3,0.1195,7,35,1.3944,9066,5718,227.8088,0.174981,8025,199,176,23,4,8,7.9283,3508,4424,77,2739,3853,68,769,571,9,4939,6751,116,3975,102,964,919,14
Summer,0,1,10.11,7,Red,jng,Broxah,Team Liquid,Trundle,Varus,Graves,Zilean,Jarvan IV,Lee Sin,1506,1,2,0,9,13,2,0,0,0,0,1,1,0,0,0.5179,0.5976,2595,103.3865,0.057395,719.6414,459.5618,10,0.3984,6,0.239,11,33,1.3147,8483,5135,204.5817,0.15714,7475,112,11,101,55,5,4.4622,3384,3203,59,3108,3286,63,276,-83,-4,4852,4943,86,4509,94,343,-340,-8
Summer,0,1,10.11,8,Red,mid,Jensen,Team Liquid,Azir,Varus,Graves,Zilean,Jarvan IV,Lee Sin,1506,1,2,1,6,13,2,0,0,0,0,0,0,0,0,0.5179,0.5976,10726,427.3307,0.237233,406.0558,258.008,11,0.4382,1,0.0398,5,23,0.9163,11038,7690,306.3745,0.235326,9475,256,225,31,16,14,10.1992,3384,4983,93,3176,4409,89,208,574,4,5436,8030,149,4935,142,501,1084,7
Summer,0,1,10.11,9,Red,bot,Tactical,Team Liquid,Aphelios,Varus,Graves,Zilean,Jarvan IV,Lee Sin,1506,1,7,0,6,13,2,2,0,0,0,1,0,1,0,0.5179,0.5976,22611,900.8367,0.5001,136.0956,314.8606,10,0.3984,2,0.0797,2,22,0.8765,13283,9935,395.8167,0.304025,11800,241,212,29,17,6,9.6016,3460,3183,82,3277,3110,91,183,73,-9,6627,5479,140,5556,157,1071,-199,-17
Summer,0,1,10.11,10,Red,sup,CoreJJ,Team Liquid,Bard,Varus,Graves,Zilean,Jarvan IV,Lee Sin,1506,1,1,1,12,13,2,0,0,0,0,1,0,1,0,0.5179,0.5976,4279,170.4781,0.0946409,163.1076,152.9482,42,1.6733,9,0.3586,9,72,2.8685,7548,4200,167.3307,0.128529,6825,31,31,0,0,0,1.2351,2524,3019,14,1954,2739,13,570,280,1,4371,4111,24,3200,23,1171,147,1
Summer,0,1,10.13,6,Red,top,Impact,Team Liquid,Kennen,Volibear,Varus,Trundle,Wukong,Ornn,2717,1,5,6,4,15,19,0,0,0,0,0,0,0,1,0.3312,0.7508,27105,598.5646,0.281719,502.2598,356.0029,23,0.5079,10,0.2208,8,46,1.0158,17621,11803,260.6478,0.222867,15300,297,293,4,0,0,6.5587,3744,3952,68,3280,3948,62,464,4,6,6902,6878,122,4923,108,1979,164,14
Summer,0,1,10.13,7,Red,jng,Broxah,Team Liquid,Graves,Volibear,Varus,Trundle,Wukong,Ornn,2717,1,2,2,8,15,19,0,0,0,0,0,0,0,0,0.3312,0.7508,17868,394.5823,0.185713,653.7063,459.7056,14,0.3092,23,0.5079,14,68,1.5017,15227,9409,207.7806,0.177662,15012,278,63,215,153,5,6.1391,2917,2910,57,3787,3155,60,-870,-245,-3,4498,4556,89,5283,86,-785,-52,3
